-3980,-86596,-262915,264608,979904,-837026,-335829,2777139,-3294245,-388876,7201515,-10622720,3686456,13106345,-27230121,20997276,12180855,-54264793,67096045,-18607716,-83969660,178676145,-163393157,-94989964,1251707273,1215447021,-123287642,-146490878,176174436,-89972398,-11642602,63901122,-55318491,15122021,18797921,-26883281,14065953,2607558,-10189988,7407184,-786451,-3075913,2801248,-451518,-766693,990649,231341,-262048,-81274,-3443,
-3794,-84800,-262706,253444,983864,-813827,-374964,2786646,-3222591,-522676,7274439,-10483176,3326352,13435488,-27128731,20271208,13173925,-54648248,66061884,-16281655,-86031132,177935530,-157794628,-104618896,1239804876,1227716797,-114051976,-152159438,177101256,-88032288,-13959531,64996658,-54999489,14154472,19537942,-27013070,13755398,2966655,-10338896,7342998,-655222,-3149798,2794679,-413533,-790378,987445,242354,-262417,-83026,-3615,
-3615,-83026,-262417,242354,987445,-790378,-413533,2794679,-3149798,-655222,7342998,-10338896,2966655,13755398,-27013070,19537942,14154472,-54999489,64996658,-13959531,-88032288,177101256,-152159438,-114051976,1227716797,1239804876,-104618896,-157794628,177935530,-86031132,-16281655,66061884,-54648248,13173925,20271208,-27128731,13435488,3326352,-10483176,7274439,-522676,-3222591,2786646,-374964,-813827,983864,253444,-262706,-84800,-3794,
-3443,-81274,-262048,231341,990649,-766693,-451518,2801248,-3075913,-786451,7407184,-10189988,2607558,14065953,-26883281,18797921,15122021,-55318491,63901122,-11642602,-89972398,176174436,-146490878,-123287642,1215447021,1251707273,-94989964,-163393157,178676145,-83969660,-18607716,67096045,-54264793,12180855,20997276,-27230121,13106345,3686456,-10622720,7201515,-388876,-3294245,2777139,-335829,-837026,979904,264608,-262915,-86596,-3980,
-3277,-79544,-261602,220410,993480,-742785,-488908,2806360,-3000984,-916302,7466995,-10036564,2249255,14367040,-26739514,18051591,16076108,-55605248,62776045,-9332115,-91850770,175156227,-140792224,-132324410,1202999589,1263420060,-85166829,-168951726,179322028,-81848639,-20936447,68098401,-53849163,11175746,21715705,-27317100,12768094,4046774,-10757422,7124234,-253882,-3364713,2766151,-296141,-859961,975564,275844,-263041,-88412,-4173,
-3117,-77835,-261080,209562,995940,-718668,-525688,2810026,-2925057,-1044718,7522427,-9878737,1891936,14658548,-26581928,17299397,17016277,-55859772,61622206,-7029310,-93666749,174047823,-135066742,-141160885,1190378593,1274939363,-75151219,-174467024,179872150,-79668874,-23266572,69068222,-53401420,10159092,22426055,-27389541,12420869,4407108,-10887174,7042608,-117759,-3433948,2753675,-255916,-882620,970840,287147,-263083,-90250,-4373,
-2964,-76148,-260484,198801,998032,-694353,-561844,2812256,-2848181,-1171641,7573482,-9716620,1535788,14940375,-26410689,16541785,17942085,-56082093,60440395,-4735412,-95419718,172850458,-129317682,-149795752,1177588178,1286261372,-64944948,-179935735,180325524,-77431206,-25596808,70004795,-52921640,9131394,23127888,-27447320,12064807,4767262,-11011875,6956650,19428,-3501904,2739705,-215169,-904989,965732,298515,-263039,-92108,-4581,
-2816,-74484,-259816,188129,999759,-669856,-597364,2813062,-2770404,-1297013,7620162,-9550329,1180998,15212425,-26225966,15779202,18853095,-56272259,59231417,-2451637,-97109096,171565406,-123548278,-158227781,1164632539,1297382336,-54549909,-185354537,180681210,-75136512,-27925863,70907421,-52409921,8093164,23820768,-27490322,11700052,5127035,-11131423,6866378,157614,-3568535,2724235,-173918,-927055,960237,309944,-262908,-93987,-4796,
-2675,-72842,-259077,177550,1001123,-645189,-632236,2812454,-2691772,-1420780,7662473,-9379982,827752,15474605,-26027938,15012096,19748886,-56430335,57996083,-179186,-98734343,170193977,-117761746,-166455826,1151515917,1308298565,-43968078,-190720102,180938311,-72785706,-30252440,71775414,-51866377,7044922,24504262,-27518440,11326754,5486230,-11245719,6771809,296733,-3633795,2707261,-132179,-948804,954353,321431,-262687,-95887,-5019,
-2539,-71222,-258270,167066,1002129,-620366,-666446,2810446,-2612335,-1542887,7700423,-9205698,476231,15726831,-25816788,14240915,20629043,-56556403,56735218,2080750,-100294954,168737519,-111961284,-174478826,1138242601,1319006436,-33201511,-196029099,181095975,-70379738,-32575235,72608107,-51291140,5987195,25177940,-27531574,10945067,5844645,-11354666,6672966,436715,-3697640,2688778,-89969,-970222,948079,332970,-262376,-97806,-5250,
